#_____time conns tot_conn  tot_req      tot_bytes    err thr cps rps Bps bps ttfb(us) ttlb(us)
99.65   0.35   286         91879    0.731     91879    0.731
99.7    0.3    333         91920    0.737     91920    0.737
99.75   0.25   400         91973    0.741     91973    0.741
99.8    0.2    500         92018     0.75     92018     0.75
99.85   0.15   667         92060    0.759     92060    0.759
99.9    0.1    1000        92110    0.775     92110    0.775
99.91   0.09   1111        92121     0.78     92121     0.78
99.92   0.08   1250        92128    0.784     92128    0.784
99.93   0.07   1429        92139    0.794     92139    0.794
99.94   0.06   1667        92146    0.801     92146    0.801
99.95   0.05   2000        92157    0.808     92157    0.808
99.96   0.04   2500        92167    0.817     92167    0.817
99.965  0.035  2857        92171    0.821     92171    0.821
99.97   0.03   3333        92176    0.824     92176    0.824
99.975  0.025  4000        92180    0.834     92180    0.834
99.98   0.02   5000        92185    0.838     92185    0.838
99.985  0.015  6667        92190    0.861     92190    0.861
99.99   0.01   10000       92194     0.87     92194     0.87
99.995  0.005  20000       92199    0.947     92199    0.947
99.996  0.004  25000       92200    1.015     92200    1.015
99.9965 0.0035 28571       92200    1.015     92200    1.015
99.997  0.003  33333       92201    1.178     92201    1.178
99.9975 0.0025 40000       92201    1.178     92201    1.178
99.998  0.002  50000       92202    1.238     92202    1.238
99.9985 0.0015 66667       92202    1.238     92202    1.238
99.999  0.001  100000      92203     1.34     92203     1.34
99.9995 0.0005 200000      92203     1.34     92203     1.34
99.9999 0.0001 1000000     92203     1.34     92203     1.34
