#_____time conns tot_conn  tot_req      tot_bytes    err thr cps rps Bps bps ttfb(us) ttlb(us)
1619304424  1196     1196 199617872    25351470311      0 100 0.0 2203935.1 279899499.5 2239195996.0 542.2 542.2 
1619304425  1196     1196 201823983    25631646408      0 100 0.0 2203907.1 279896200.8 2239169606.4 542.2 542.2 
1619304426  1196     1196 204030916    25911926899      0 100 0.0 2204728.3 280000490.5 2240003924.1 542.0 542.0 
1619304427  1196     1196 206235787    26191945770      0 100 0.0 2202668.3 279739131.9 2237913054.9 542.5 542.5 
1619304428  1196     1196 208439868    26471863803      0 100 0.0 2201879.1 279638394.6 2237107156.8 542.7 542.7 
1619304429  1196     1196 210641731    26751500404      0 100 0.0 2199663.3 279357243.8 2234857950.0 543.2 543.2 
1619304430  1196     1196 212848424    27031750415      0 100 0.0 2204488.5 279970041.0 2239760327.7 542.0 542.0 
1619304431  1196     1196 215046573    27310915338      0 100 0.0 2195953.0 278886037.0 2231088295.7 544.1 544.1 
1619304432  1196     1196 217245518    27590181480      0 100 0.0 2196748.3 278987154.8 2231897238.8 544.0 544.0 
1619304433  1196     1196 219449353    27870068525      0 100 0.0 2201633.4 279607437.6 2236859500.5 542.7 542.7 
1619304434  1196     1196 221651052    28149684171      0 100 0.0 2201699.0 279615646.0 2236925168.0 542.7 542.7 
1619304435  1196     1196 223859676    28430179546      0 100 0.0 2206417.6 280215159.8 2241721278.7 541.6 541.6 
1619304436  1196     1196 226068629    28710716704      0 100 0.0 2206746.3 280256901.1 2242055208.8 541.5 541.5 
1619304437  1196     1196 228280720    28991652007      0 100 0.0 2209881.1 280654648.4 2245237186.8 540.7 540.7 
1619304438  1196     1196 230487736    29271943293      0 100 0.0 2204811.2 280011274.7 2240090197.8 542.0 542.0 
1619304439  1196     1196 232696919    29552509280      0 100 0.0 2206976.0 280285701.3 2242285610.4 541.4 541.4 
1619304440  1196     1196 234906362    29833108668      0 100 0.0 2207235.8 280319068.9 2242552551.4 541.4 541.4 
